"n","runs","meanFracFree","varFracFree","probabilitySafeSquare"
142,86000,0.133443876491837,0.000181044999143053,1
143,86000,0.133519564270499,0.000180156064407541,1
144,86000,0.133442431318188,0.000179660238517656,1
145,86000,0.133411452036612,0.000178276900476366,1
146,86000,0.133464288208006,0.000177402378341267,1
147,86000,0.133593481721117,0.00017655605330039,1
148,86000,0.133544183816909,0.000175654592687898,1
149,86000,0.133525664567802,0.000173270295692524,1
150,88000,0.133506155050505,0.000173199432569062,1
151,81000,0.133574258980411,0.000170198630407565,1
152,81000,0.133518948672241,0.00017007962258198,1
153,81000,0.133581604943546,0.00016965391400357,1
154,81000,0.133590084518656,0.000168388957430164,1
155,81000,0.133576117984096,0.00016538025478176,1
156,81000,0.13355978238813,0.00016507927271607,1
157,81000,0.133610734715404,0.00016544115540501,1
158,81000,0.133659240170042,0.000163638007307402,1
159,81000,0.133609509605857,0.000163163790136728,1
160,83000,0.133615538874247,0.000160381590554767,1
161,81000,0.133649106663599,0.000160593832515834,1
162,81000,0.13368429891559,0.000158857284176305,1
163,81000,0.133765177927121,0.0001581590616576,1
164,81000,0.13367112921468,0.000158437981958626,1
165,81000,0.133697527463184,0.000155909435559589,1
166,81000,0.133706806252229,0.000155230058659229,1
167,81000,0.133714779799461,0.000155672541682479,1
168,81000,0.133799644729291,0.00015279749391369,1
169,81000,0.133742214303282,0.000152128373353439,1
170,83000,0.133730639929962,0.00015228686100565,1
171,81000,0.133716857481948,0.000152049581739437,1
172,81000,0.133785805557225,0.000151514025134769,1
173,81000,0.133786243904813,0.000149083107923005,1
174,81000,0.13387303311591,0.000148227118584454,1
175,81000,0.133770230889393,0.00014606605488385,1
176,81000,0.133882365718422,0.000147568043645141,1
177,81000,0.133784787809504,0.000146175611888254,1
178,81000,0.133794449354038,0.000144834707799954,1
179,81000,0.133734087228516,0.000143890627745387,1
180,83000,0.133903497694482,0.000142774602823839,1
181,81000,0.133846355253028,0.000143936768519544,1
182,81000,0.133846790063823,0.000142580304264349,1
183,81000,0.133791993980703,0.000142212578228689,1
184,81000,0.133856938026558,0.00014081378517493,1
185,81000,0.133942051601151,0.000140816202840696,1
186,81000,0.133833917858198,0.000140236954538543,1
187,81000,0.133835249492584,0.000138577120128993,1
188,81000,0.133913929896775,0.00013895214407499,1
189,81000,0.133898863309994,0.000137828004680602,1
190,83000,0.133864327670794,0.000136663774326147,1
191,81000,0.133961220131162,0.000137598975761423,1
192,81000,0.133907253689236,0.000133780650236453,1
193,81000,0.133879555967863,0.000134332601710214,1
194,81000,0.13399560966713,0.000134998771279302,1
195,81000,0.133933642746406,0.000133098062223234,1
196,81000,0.133854422797086,0.000132825331042552,1
197,81000,0.133989091241086,0.000132007727689898,1
198,81000,0.1339599962085,0.000131255059684142,1
199,81000,0.134002314132858,0.000130112897498876,1
200,84000,0.133922638095238,0.00013041972474551,1
210,73000,0.134040028577641,0.000122965262672577,1
220,73000,0.134088649382996,0.000118383107161083,1
230,73000,0.134225297925784,0.000112359105890045,1
240,73000,0.134227382990868,0.000108937946436766,1
250,73000,0.134183989260274,0.000103125579250888,1
260,73000,0.1343181233282,0.000100088859665365,1
270,73000,0.134384812935716,0.0000970194451908291,1
280,73000,0.13440452159631,0.0000925396113182622,1
290,73000,0.134423735605036,0.0000893795742248971,1
300,73000,0.13443320761035,0.0000867172665390034,1
